127.0.0.1, 2018-10-14 12:55:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:55:51, GET, /start/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-10-14 12:55:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:55:53, GET, /start/default/insert, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-10-14 12:55:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-10-14 12:55:55, GET, /start/default/index, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-14 12:55:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:56:47, GET, /start/default/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-10-14 12:56:47, GET, /start/default/download/movies.image.8509c2e99c9f3903.736872656b2e6a7067.jpg, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-14 12:56:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:57:18, GET, /start/default/index, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-10-14 12:57:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:57:19, GET, /start/default/insert, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-10-14 12:57:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-14 12:57:20, GET, /start/default/index, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-14 12:57:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
